"id","snp","hg38","hg19","hg18","hg17","gene","raf","riskAllele","pValue","oddsRatio","lowerCI","upperCI","study","studyID"
"1","rs10842948","12:27596109","12:27749042","12:27640309","12:27640309","PPFIBP1:0|SMCO2:89198|AC087257.2:2070|RARS1P1:97520|AC009509.4:12624|LOC107984461:94446|SMCO2:93924|AC087257.1:43336|RARSP1:97426|LOC100506578:1921",NA,"T",5e-06,2.483855,"2.09","2.88","El Charif O 2019","GCST007796"
"2","rs117764890","10:31176968","10:31465897","10:31505903","10:31505903","RNA5SP309:82631|LOC105376481:21039|LOC105376483:32733|LOC101929352:10915|LINC02664:10747|LOC105376482:42739|ZEB1-AS1:29310|AL359546.1:33155",NA,"C",6e-06,3.4188,"2.89","3.95","El Charif O 2019","GCST007796"
"3","rs12026039","1:104028469","1:104571091","1:104372614","1:104283112","AC092506.1:44514|LOC100129138:44554|AL136455.1:100663|LOC100131348:100585",NA,"G",4e-06,3.5248504,"2.99","4.06","El Charif O 2019","GCST007796"
"4","rs141382055","10:22570882","10:22859811","10:22899817","10:22899817","PIP4K2A:0|AL390318.1:123071|RNU6-413P:216511|AL513128.3:91402|TRP-GGG1-1:7160|AL513128.2:92856|LOC105376450:98305",NA,"A",3e-06,5.7029,"4.97","6.43","El Charif O 2019","GCST007796"
"5","rs498518","1:234694843","1:234830590","1:232897213","1:231137325","LINC00184:60063|AL160408.2:85360|LOC105373209:10334|LINC01132:29199|LOC101927787:33919|AL160408.4:27739|LOC105373210:50867|IRF2BP2:85318|AL160408.3:0|AL160408.6:14540|PP2672:62776|LOC107985364:56490|AL360294.1:62776|AL160408.1:11667|LOC105373207:45381|AL160408.5:47272|LOC105373208:6011",NA,"A",9e-06,1.8635,"1.59","2.14","El Charif O 2019","GCST007796"
"6","rs6552561","4:182372363","4:183293516","4:183530510","4:183668665","RNU2-34P:176296|LOC105377572:155374|AC108142.1:181981|TENM3:0",NA,"A",9e-06,1.8521,"1.58","2.12","El Charif O 2019","GCST007796"
"7","rs6671895","1:38089354","1:38555026","1:38327613","1:38224119","LINC02786:40110|POU3F1:42561|RNU6-510P:97785|FHL3:83663|LOC105378653:0|LOC105378654:52300|MIR3659:25|SF3A3:99279|LOC105378655:40122|UTP11:64534|FHL3:83748|MIR3659HG:0|RNU6-510P:97820|LOC107985103:32505|AL139158.1:8443|SF3A3:99332|AL390839.1:60190",NA,"T",1e-06,4.3219,"3.73","4.91","El Charif O 2019","GCST007796"
"8","rs73231578","8:26823683","8:26681200","8:26737117","8:26737117","ADRA1A:0|COX6B1P4:12300|COX6B1P4:12134|RPLP1P9:51554|AC091675.1:51543",NA,"T",4e-06,2.9383,"2.48","3.4","El Charif O 2019","GCST007796"
"9","rs7532231","1:104193445","1:104736067","1:104537590","1:104448088","FTLP17:39615|AL591888.1:804961|AC092506.1:0|LOC105378880:807581|LOC105378879:42768|FTLP17:39408",NA,"A",1e-06,2.2114108,"1.89","2.53","El Charif O 2019","GCST007796"
"10","rs7606353","2:240124959","2:241064376","2:240713049","2:240784366","LOC107985836:86443|COPS9:1589|OR5S1P:14907|OR6B3:77932|OR6B3:71237|OTOS:13983|OR9S24P:44597|NDUFA10:99557|OTOS:14067|OR6B2:94503|COPS9:1604|NDUFA10:99614|OR5S1P:14910|OR9S24P:44599|OR6B2:94530|AC124861.3:64751|AC124861.4:59757",NA,"G",2e-06,4.2043,"3.61","4.8","El Charif O 2019","GCST007796"
"11","rs10253216","7:16822225","7:16861849","7:16828374","7:16635089","AC098592.2:66396|AGR3:37187|TSPAN13:37689|AGR2:17226|RAD17P1:42042|AC073333.2:27732|LOC100287613:27766|RAD17P1:41640|LOC100131425:66396|AHR:94134|AGR2:0|AGR3:32486",NA,"T",2e-07,1.478,"1.155","1.891","Low SK 2013","GCST002007"
"12","rs11774576","8:27882900","8:27740417","8:27796336","8:27796336","AC069113.2:21581|AC104997.1:42518|LOC100130612:42488|PBK:44818|MIR4287:3139|SCARA5:0|AC069113.1:20329|ESCO2:70260|ESCO2:70470|AC069113.3:20666|LOC105379342:19431|PBK:45083",NA,"A",3e-06,1.699,"1.307","2.208","Low SK 2013","GCST002007"
"13","rs11944965","4:62558371","4:63424089","4:63106684","4:63252855","HMGN1P11:46802|LOC100131441:68142|EXOC5P1:258455|AC074087.1:68153|HMGN1P11:47600|EXOC5P1:258291",NA,"T",2e-06,1.986,"1.475","2.676","Low SK 2013","GCST002007"
"14","rs12142335","1:107760300","1:108302922","1:108104445","1:108014964","MIR7852:136923|VAV3:0|NDUFA4P1:254672|AC114491.1:254852",NA,"A",8e-06,9.713,"3.175","29.71","Low SK 2013","GCST002007"
"15","rs2406342","18:76776324","18:74488280","18:72617268","18:72617268","ZNF236:46283|RNU6-346P:24340|CCND3P2:24483|LINC01879:82688|RPL26P35:58105|ZNF236-DT:18408|LOC105372214:66553|AC027575.3:28827|AC027575.2:64514|ARL2BPP1:72070|ZNF236:46226|AC139085.1:16458|LOC105372212:89232|LOC105372213:48453|RPL26P35:58068",NA,"T",2e-06,1.697,"1.323","2.177","Low SK 2013","GCST002007"
"16","rs4627050","11:18800490","11:18822037","11:18778613","11:18778613","LOC441592:63056|LOC105376579:81388|TMEM86A:95705|LOC100420123:35715|AC103974.1:59922|LOC390098:86434|IGSF22:73551|AC023078.2:70499|AC103974.2:35525|PTPN5:7769|MRGPRX7P:63068|IGSF22:74260|MRGPRX6P:86443|LOC645397:70297|MRGPRX8P:35814",NA,"G",4e-06,1.932,"1.452","2.572","Low SK 2013","GCST002007"
"17","rs6077251","20:7771719","20:7752366","20:7700366","20:7700366","RN7SL547P:137868|AL021879.1:95608|SRSF10P2:59682|AL031679.1:60079|LOC105372518:46723",NA,"T",3e-06,2.065,"1.537","2.773","Low SK 2013","GCST002007"
