id,snp,hg38,hg19,hg18,hg17,gene,ethnicity,alleleFrequency,riskAllele,pValue,oddsRatio,lowerCI,upperCI,seLnOR,study,cohort,citations
1,rs660240,1:109275216,1:109817838,1:109619361,1:109529880,CELSR2,European,0.79,C,3.25e-10,1.06,1.04,1.08,0.019255269379003605,Shah et. al 2020,977323,0
2,rs17042102,4:110747470,4:111668626,4:111888075,4:112026230,PITX2|FAM241A,European,0.12,A,5.71e-20,1.12,1.09,1.14,0.02288294192109775,Shah et. al 2020,977323,0
3,rs11745324,5:137676482,5:137012171,5:137040070,5:137040070,KLHL3,European,0.77,G,2.35e-8,1.05,1.03,1.07,0.019438697057280834,Shah et. al 2020,977323,0
4,rs4135240,6:36679903,6:36647680,6:36755658,6:36755658,CDKN1A,European,0.66,T,6.84e-9,1.05,1.03,1.07,0.019438697057280834,Shah et. al 2020,977323,0
5,rs55730499,6:160584578,6:161005610,6:160925600,6:160976021,LPA,European,0.07,T,1.83e-11,1.11,1.08,1.14,0.027585316974630413,Shah et. al 2020,977323,0
6,rs140570886,6:160591981,6:161013013,6:160933003,6:160983424,LPA,European,0.02,C,7.69e-11,1.24,1.16,1.3,0.058134826198580535,Shah et. al 2020,977323,0
7,rs1556516,9:22100177,9:22100176,9:22090176,9:22090176,9P21/CDKN2B-AS1,European,0.48,C,1.57e-15,1.06,1.05,1.08,0.014372896411579768,Shah et. al 2020,977323,0
8,rs600038,9:133276354,9:136151806,9:135141627,9:133181360,ABO|SURF1,European,0.21,C,3.68e-9,1.06,1.04,1.08,0.019255269379003605,Shah et. al 2020,977323,0
9,rs4746140,10:73657491,10:75417249,10:75087255,10:75087255,SYNPO2L|AGAP5,European,0.85,G,1.1e-9,1.07,1.05,1.09,0.01907527146511243,Shah et. al 2020,977323,0
10,rs17617337,10:119667372,10:121426884,10:121416874,10:121416874,BAG3,European,0.78,C,3.65e-9,1.06,1.04,1.08,0.019255269379003605,Shah et. al 2020,977323,0
11,rs4766578,12:111466567,12:111904371,12:110388754,12:110367091,ATXN2,European,0.47,T,4.9e-8,1.04,1.03,1.06,0.014648013205322141,Shah et. al 2020,977323,0
12,rs56094641,16:53772541,16:53806453,16:52363954,16:52363954,FTO,European,0.42,G,1.21e-8,1.05,1.03,1.06,0.014648013205322141,Shah et. al 2020,977323,0
