"id","snp","hg38","hg19","hg18","hg17","gene","raf","riskAllele","pValue","oddsRatio","lowerCI","upperCI","citation","studyID"
"1","rs733208","6:33114531","6:33082308","6:33190286","6:33190286","LOC105375021:16476|RPL32P1:34622|HLA-DPA3:16685|HLA-DPB2:0|HCG24:28793|HLA-DPA2:17236|MIR219A1:93304|HLA-DPB1:24835|COL11A2:48161|RING1:93969|HLA-DPA3:16666|RPL32P1:34671|HLA-DPA2:21217|HSD17B8:90124|COL11A2:48150|HLA-DPA1:33783|COL11A2P1:7387|RNY4P10:85070|COL11A2P1:7201|HCG24:30252|RXRB:79057|SLC39A7:85914|SLC39A7:86336|RXRB:79054|HLA-DPA1:33756",NA,"A",4e-07,1.435,"1.30","1.57","Kwak SH 2014","GCST002416"
"2","rs10944479","6:90170674","6:90880393","6:90937114","6:90937114","BACH2:0|LOC105377890:13628|AL117342.1:53569|AL158136.1:90940|AL132996.1:124833|RN7SKP110:169168",NA,"A",4e-08,1.25,"1.14","1.37","Medici M 2014","GCST002378"
"3","rs11675434","2:1404043","2:1407815","2:1386822","2:1386822","AC108462.1:57475|SNTG2:36430|AC105450.1:0|TPO:9245|TPO:0|AC141930.1:142622|LOC105373359:89594|SNTG2:36052",NA,"T",2e-16,1.21,"1.15","1.28","Medici M 2014","GCST002378"
"4","rs1894407","6:32819259","6:32787036","6:32895014","6:32895014","MIR3135B:69280|LOC100294145:74917|TAP1:25950|HLA-DQA2:72061|PPP1R2P1:57219|PSMB9:24877|PSMB8:21458|PPP1R2P1:59912|HLA-DQB2:55706|PSMB8-AS1:24819|PSMB9:34933|HLA-Z:77143|HLA-Z:77157|AL669918.1:0|TAP2:2574|PSMB8-AS1:24827|HLA-DOB:2257|HLA-DQB2:55727|HLA-DOB:0|HLA-DQB3:87564",NA,"C",1e-07,1.17,"1.11","1.24","Medici M 2014","GCST002378"
"5","rs301799","1:8429242","1:8489302","1:8411889","1:8423568","SNORD128:65558|LOC102724552:0|AL096855.1:82553|RERE:0|RERE-AS1:0|SLC45A1:85075|AL096855.2:83411",NA,"C",3e-06,1.11,"1.06","1.17","Medici M 2014","GCST002378"
"6","rs3094228","6:31462150","6:31429927","6:31537906","6:31537906","MICB-DT:17768|DHFRP2:95185|SNORD84:78951|LOC100287329:97421|HLA-S:79862|HCP5:1030|RPL15P4:65922|AL645933.2:578|MCCD1:66812|SNORD117:74224|AL645933.1:59900|RNU6-283P:91910|NFKBIL1:84720|DDX39B:68076|AL645933.4:17823|MICA-AS1:61680|MICA:46835|HCP5:1020|LINC01149:15177|AL645933.5:0|DHFRP2:95252|NFKBIL1:84701|ATP6V1G2:82294|RPL15P4:65964|LTA:98400|AL645933.3:66655|DDX39B:68069|PPIAP9:57330|AL663061.2:53829|MICB:32731|ATP6V1G2-DDX39B:68069|PPIAP9:56827|DDX39B-AS1:80154|ATP6V1G2:82312|AL663061.1:34539|FGFR3P1:84122|FGFR3P1:84131|HLA-S:79663|AL671883.3:86062|ZDHHC20P2:81311|HLA-X:0|HCG26:9079",NA,"C",4e-07,1.23,"1.13","1.33","Medici M 2014","GCST002378"
"7","rs4811340","20:52393218","20:51009757","20:50443164","20:50443164","LOC107985427:47895|ZFP64:201233|AL049765.2:89583|AL049765.1:94704|AL109610.1:58246|ZFP64:188910|LINC01524:0|LOC105372667:76023|LOC105372666:0",NA,"G",6e-07,1.13,"1.07","1.20","Medici M 2014","GCST002378"
"8","rs4889009","16:79666550","16:79700447","16:78257948","16:78257948","AC009159.3:59945|MAF:65813|MAFTRR:54762|AC009159.2:62373|AC009159.1:46440|LINC01229:9498|AC009159.4:9135|LOC105371356:9411|LOC101928230:54037|MAF:64598|MAFTRR:48670",NA,"G",3e-07,1.14,"1.08","1.21","Medici M 2014","GCST002378"
"9","rs653178","12:111569952","12:112007756","12:110492139","12:110470476","ATXN2:0|PCNPP1:99900|PCNPP1:96979|LOC100101246:11380|AC002395.1:5069|SH2B3:118329|ATXN2-AS:29546|BRAP:72194|IFITM3P5:11427",NA,"C",1e-09,1.14,"1.08","1.19","Medici M 2014","GCST002378"
"10","rs879564","19:4768905","19:4768917","19:4719917","19:4719917","MIR7-3:1765|LOC105372250:43731|DPP9-AS1:82957|AC005594.1:74565|TICAM1:47027|MYDGF:98514|FEM1A:22829|TRG-TCC1-1:44764|ARRDC5:98709|AC027319.1:69427|MYDGF:98543|PLIN3:69436|TICAM1:47019|MIR7-3HG:200|TRV-CAC3-1:44198|MIR7-3HG:126|DPP9:44232|DPP9:45063|AC005523.2:22840|AC005523.1:16215",NA,"A",1e-07,1.15,"1.09","1.22","Medici M 2014","GCST002378"
"11","rs11755527","6:90248512","6:90958231","6:91014952","6:91014952","AL132996.1:46995|MIR4464:64230|AL117342.1:131407|LOC105377891:48655|BACH2:0|LOC105377890:62999",NA,"G",1e-06,1.2,NA,NA,"Plagnol V 2011","GCST004383"
