"id","snp","hg38","hg19","hg18","hg17","gene","raf","riskAllele","pValue","oddsRatio","lowerCI","upperCI","study","studyID"
"1","rs3885907","13:30740318","13:31314455","13:30212455","13:30212455","TRN-GTT2-4:66281|ALOX5AP:0|LINC00398:62888|USPL1:79552|USPL1:79548|AL138681.1:56040",NA,"G",1e-06,2.66,"1.71","4.13","Chung S 2013","GCST002176"
"2","rs4474258","1:94615889","1:95081445","1:94854033","1:94793466","MIR12133:72110|LOC105378861:0|ABCD3:97223|LOC105378860:67583|KATNBL1P2:34464|F3:74032|SLC44A3-AS1:463|KATNBL1P2:34655|SLC44A3-AS1:0|ABCD3:97226|AC093117.1:23592|F3:74130|PGBD4P7:56950",NA,"A",5e-06,1.89,"1.29","2.75","Chung S 2013","GCST002176"
"3","rs7089227","10:13625731","10:13667731","10:13707737","10:13707737","FRMD4A:12569|BEND7:96757|AL157392.1:84684|AL157392.5:0|PRPF18:0|AL157392.4:49915|LOC105376426:84274|BEND7:96717|LOC105376422:68561|LOC105376421:95467|RPL6P24:33408|FRMD4A:17975|RPL6P24:33389|AL590677.2:95469|AL157392.3:5412",NA,"G",7e-06,1.99,"1.37","2.90","Chung S 2013","GCST002176"
"4","rs10112481","8:5017650","8:4875172","8:4862580","8:4862580","LOC107986907:95630|CSMD1:22615|RSL24D1P7:53643|AC019176.2:54995|CSMD1:22678",NA,"A",4e-06,5.12,"2.46","10.6","Chung S 2013","GCST002178"
"5","rs10818894","9:123933491","9:126695770","9:125735591","9:123775324","AC006450.1:77039|DENND1A:3333|LOC105376267:62421|LHX2:78268|PIGFP2:89611|DENND1A:3339|LHX2:68179|AC006450.3:72786|AC006450.2:98133|PIGFP2:89805|LOC100505588:72786",NA,"G",2e-06,10.4,"3.56","30.1","Chung S 2013","GCST002178"
"6","rs11644424","16:83292454","16:83326059","16:81883560","16:81883560","AC125793.1:302156|CDH13:0|AC009142.1:90553|LOC105371368:88594|LOC101928417:302156",NA,"T",8e-06,3.32,"1.71","6.44","Chung S 2013","GCST002178"
"7","rs594206","1:147548685","1:147020456","1:145487080","1:144245272","LINC00624:30810|BCL9:0|ACP6:77497|OR13Z3P:66057|ACP6:80967",NA,"A",6e-07,36.3,"4.58","287","Chung S 2013","GCST002178"
"8","rs637644","18:65231430","18:62898666","18:61049646","18:61049646","LOC105372168:87223|LINC01916:192528|AC007631.1:44412",NA,"G",7e-06,32.5,"4.08","259","Chung S 2013","GCST002178"
"9","rs6475600","9:2203938","9:2203938","9:2193938","9:2193938","SMARCA2:10314|RNU2-25P:40985|LOC107987043:0|RN7SL592P:25023|LOC105375955:85278",NA,"C",2e-06,7.78,"3.25","18.6","Chung S 2013","GCST002178"
"10","rs672203","1:70421416","1:70887099","1:70659687","1:70599120","ANKRD13C:66682|HHLA3:36077|AL354872.1:23655|AL354872.2:9480|CTH:0|HHLA3-AS1:60979|HHLA3:53393|LOC102724548:60396|LOC105378793:27664|ANKRD13C:66439",NA,"A",2e-06,5.33,"2.59","11.0","Chung S 2013","GCST002178"
"11","rs6845621","4:18864546","4:18866169","4:18475267","4:18542438","AC093871.1:375038|LOC107986263:103950|AC093898.1:0|AC006840.1:233653|LOC105374510:27483",NA,"C",2e-06,5.53,"2.61","11.7","Chung S 2013","GCST002178"
"12","rs10488226","7:12673445","7:12713070","7:12679595","7:12486310","ARL4A:13411|LOC100505995:12100|LOC107986768:78114|LOC105375157:591|LOC107986769:84624|AC011287.1:52707|AC011891.1:27313|AC011891.2:18460|SCIN:13263|ARL4A:13382|AC011891.3:12192",NA,"A",3e-06,2.026,"1.50","2.737","Low SK 2013","GCST001997"
"13","rs1567482","4:36025125","4:36026747","4:35703142","4:35849313","LOC105374397:52891|ARAP2:0|RNU6-573P:529122|LOC651644:39948|AC098827.1:39935",NA,"G",6e-06,2.846,"1.716","4.719","Low SK 2013","GCST001997"
"14","rs6706693","2:191600872","2:192465598","2:192173843","2:192291104","LOC105747689:89309|LOC107985833:52372|NABP1:77200|MYO1B:175483|NABP1:77196|AC114778.1:81580",NA,"A",9e-06,1.743,"1.362","2.232","Low SK 2013","GCST001997"
"15","rs6740660","2:224078968","2:224943685","2:224651929","2:224769190","LOC100420435:91748|USP21P1:90696|SERPINE2:39649|SERPINE2:39650",NA,"G",4e-06,3.386,"1.87","6.131","Low SK 2013","GCST001997"
